Date,LB_G3_3M,LB_G3_6M,LB_G3_9M,LB_G3_1Y,LB_G3_15M,LB_G3_18M,LB_G3_21M,LB_G3_2Y,LB_G3_27M,LB_G3_30M,LB_G3_33M,LB_G3_3Y,LB_G3_5Y
2024-06-03,0.047778,0.04914,0.049531,0.073529,0.07535,0.076329,0.078257,0.078459,0.080718,0.08233,0.083627,0.08448,0.085572
2024-06-04,0.047781,0.04914,0.049531,0.073529,0.07539,0.076329,0.078257,0.078459,0.080717,0.08233,0.083697,0.08448,0.085428
2024-06-05,0.047643,0.04914,0.049531,0.073529,0.075391,0.076329,0.078257,0.078459,0.080709,0.082321,0.083697,0.084472,0.085328
2024-06-06,0.047781,0.048652,0.049531,0.073529,0.075376,0.076322,0.078257,0.07845,0.080698,0.082316,0.083688,0.084464,0.085389
2024-06-07,0.047775,0.048528,0.049493,0.073515,0.075379,0.076324,0.078246,0.078439,0.080707,0.082324,0.083681,0.084462,0.085262
2024-06-10,0.047781,0.048535,0.049493,0.069601,0.071401,0.072297,0.074175,0.07454,0.076763,0.078344,0.079671,0.080562,0.081333
2024-06-11,0.047781,0.048535,0.049493,0.069571,0.071371,0.072267,0.074144,0.074511,0.076734,0.078314,0.079641,0.080533,0.081427
2024-06-12,0.047781,0.048535,0.049493,0.06949,0.071299,0.072193,0.073993,0.074362,0.076575,0.078154,0.079492,0.080378,0.081277
2024-06-13,0.047781,0.048535,0.049493,0.06949,0.07121,0.072182,0.073993,0.074354,0.076569,0.078146,0.079484,0.080371,0.081061
2024-06-14,0.047913,0.048528,0.049493,0.069478,0.071212,0.072181,0.073982,0.074344,0.076577,0.078151,0.079476,0.080369,0.08086
2024-06-17,0.048068,0.048779,0.049608,0.069705,0.071582,0.072554,0.074358,0.07476,0.077021,0.07852,0.080054,0.081054,0.081559
2024-06-18,0.048068,0.048779,0.049608,0.069705,0.071544,0.072449,0.074029,0.074209,0.076464,0.077879,0.079417,0.080266,0.08075
2024-06-19,0.048068,0.048408,0.049531,0.06964,0.071478,0.072377,0.073953,0.074134,0.07638,0.077798,0.079302,0.080154,0.080589
2024-06-20,0.047919,0.048164,0.049454,0.069565,0.07139,0.072292,0.073878,0.074052,0.076296,0.077716,0.079229,0.080072,0.080565
2024-06-21,0.047913,0.047669,0.049454,0.069552,0.071392,0.072297,0.073867,0.074042,0.076305,0.077726,0.079221,0.080071,0.080502
2024-06-24,0.047959,0.04792,0.049387,0.069393,0.071199,0.072101,0.073701,0.073897,0.076141,0.077571,0.079062,0.079914,0.080384
2024-06-25,0.047959,0.04792,0.049387,0.069125,0.070927,0.071826,0.073422,0.07363,0.075872,0.077299,0.078787,0.079647,0.080017
2024-06-26,0.047771,0.048593,0.049387,0.069125,0.070928,0.071817,0.073422,0.07363,0.075864,0.077285,0.078787,0.07964,0.080034
2024-06-27,0.047989,0.048749,0.049685,0.0692,0.070914,0.071804,0.073415,0.073619,0.075855,0.077276,0.078774,0.079631,0.080211
2024-06-28,0.048447,0.049036,0.050215,0.069476,0.071417,0.07224,0.073624,0.073859,0.075654,0.077139,0.078706,0.079809,0.080361
2024-07-01,0.048581,0.049036,0.050212,0.069489,0.071427,0.072227,0.073635,0.073877,0.075662,0.077125,0.078722,0.079824,0.08101
2024-07-02,0.048453,0.048892,0.050212,0.069489,0.071427,0.072238,0.073635,0.073877,0.075662,0.077127,0.078722,0.079824,0.080494
2024-07-03,0.048206,0.048814,0.050212,0.069274,0.071362,0.072169,0.073558,0.073808,0.075589,0.077061,0.078638,0.079747,0.080387
2024-07-04,0.048206,0.048808,0.050212,0.069274,0.071349,0.072168,0.073547,0.0738,0.07558,0.077067,0.078631,0.07974,0.080235
2024-07-05,0.048061,0.048811,0.050201,0.069327,0.071418,0.072254,0.073616,0.073865,0.075586,0.077002,0.078627,0.079419,0.079983
2024-07-08,0.048907,0.048892,0.050529,0.069339,0.071425,0.072333,0.073627,0.073883,0.075593,0.077,0.078636,0.079435,0.079983
2024-07-09,0.049618,0.049263,0.051174,0.07011,0.072167,0.072967,0.074179,0.074381,0.076133,0.077541,0.079195,0.079946,0.080501
2024-07-10,0.049618,0.049263,0.051174,0.07011,0.072167,0.072967,0.074179,0.074381,0.076125,0.077545,0.079188,0.079939,0.080519
2024-07-11,0.049618,0.049257,0.051174,0.07011,0.072154,0.072954,0.074168,0.074374,0.076116,0.077538,0.07918,0.079932,0.080495
2024-07-12,0.049612,0.04926,0.051167,0.070023,0.072005,0.072887,0.074164,0.074366,0.076131,0.07755,0.079183,0.079932,0.080465
2024-07-15,0.04948,0.049195,0.050847,0.069798,0.071785,0.072647,0.07394,0.074147,0.075901,0.077312,0.078958,0.079711,0.080197
2024-07-16,0.049332,0.049117,0.050529,0.069598,0.071572,0.072432,0.073731,0.073947,0.07569,0.077092,0.078749,0.079501,0.080015
2024-07-17,0.049194,0.049039,0.050212,0.069523,0.071573,0.072422,0.073739,0.07395,0.075683,0.077084,0.078746,0.079497,0.080012
2024-07-18,0.049194,0.048964,0.049884,0.069449,0.071484,0.072355,0.073668,0.073868,0.075608,0.077024,0.078668,0.079425,0.079892
2024-07-19,0.049049,0.048889,0.049877,0.069436,0.071487,0.072365,0.073665,0.073858,0.075617,0.077033,0.078671,0.079423,0.079945
2024-07-22,0.049055,0.048892,0.049826,0.069449,0.071498,0.072368,0.07368,0.073876,0.075626,0.077035,0.078684,0.079439,0.079935
2024-07-23,0.048907,0.048892,0.049884,0.068927,0.070893,0.071756,0.073061,0.073278,0.075026,0.076422,0.078072,0.078842,0.079357
2024-07-24,0.049055,0.049195,0.050212,0.06903,0.070969,0.071808,0.07312,0.073351,0.075083,0.076478,0.078136,0.078899,0.079343
2024-07-25,0.048986,0.049165,0.050212,0.06903,0.070956,0.071783,0.073104,0.073344,0.075074,0.076468,0.078123,0.078892,0.079351
2024-07-26,0.048832,0.049169,0.050212,0.069017,0.070959,0.071793,0.07311,0.073334,0.075083,0.076476,0.078133,0.07889,0.079394
2024-07-29,0.048986,0.049178,0.050212,0.06895,0.070813,0.071721,0.073038,0.073272,0.075015,0.076402,0.078063,0.078826,0.079262
2024-07-30,0.049134,0.049143,0.050195,0.068885,0.070746,0.071696,0.072966,0.073236,0.074909,0.076289,0.077916,0.078719,0.07912
2024-07-31,0.049134,0.049146,0.050198,0.055435,0.056943,0.057817,0.059068,0.059853,0.061203,0.062482,0.064251,0.065488,0.06594
2024-08-01,0.049253,0.049149,0.050201,0.055435,0.056935,0.057824,0.059075,0.059848,0.061196,0.06249,0.064252,0.065483,0.065917
