Date,ON,1W,1M,2M,3M,6M,9M,1Y,2Y,3Y,5Y,7Y,10Y,15Y
11/19/2025,0.039945037,0.039969538,0.039923005,0.039589559,0.039020857,0.037923074,0.036724967,0.035571167,0.033320011,0.032976104,0.033622505,0.034919676,0.036917785,0.039686541
11/18/2025,0.044202878,0.043957955,0.043418668,0.042713108,0.042179466,0.040453146,0.038964142,0.037557119,0.033978477,0.033005953,0.033377279,0.034839092,0.037173138,0.040206796
11/17/2025,0.040046411,0.04009436,0.040067768,0.039694639,0.039252886,0.038175157,0.037048837,0.035979572,0.033738753,0.033387332,0.033972204,0.035204858,0.037128719,0.039811636
11/14/2025,0.040548802,0.040443936,0.040097252,0.039555071,0.039102168,0.037928523,0.036751889,0.035644036,0.033368285,0.032969106,0.033517036,0.034724238,0.036629484,0.039307729
11/13/2025,0.040350546,0.040344255,0.040146851,0.039575054,0.039157009,0.038021735,0.036938785,0.035898479,0.033749427,0.033421773,0.034016821,0.035185486,0.037038324,0.039654255
11/12/2025,0.040046411,0.04015762,0.040121567,0.039524869,0.038895622,0.037786522,0.036667023,0.035593778,0.033499,0.033173931,0.033742147,0.034932393,0.03678125,0.039409077
11/11/2025,0.039816937,0.039964209,0.040029932,0.039528134,0.039034966,0.037772491,0.036839181,0.035825297,0.033708317,0.033386222,0.033903774,0.035114314,0.036923621,0.039491515
11/10/2025,0.039841482,0.039980809,0.03999819,0.039446966,0.038929478,0.037761331,0.036677125,0.035659167,0.033573906,0.033288735,0.033900548,0.035112408,0.036963273,0.039603027
11/7/2025,0.039737954,0.039980924,0.040085752,0.039407955,0.038873855,0.037714339,0.036640715,0.035598941,0.033418615,0.033088117,0.033705619,0.034921323,0.036802667,0.03944971
11/6/2025,0.039640904,0.039960545,0.040066711,0.039322708,0.038900874,0.037804268,0.036808537,0.035799994,0.033663512,0.033341129,0.033933472,0.035111312,0.036943343,0.039520842
