Date,LB_G1_3M,LB_G1_6M,LB_G1_9M,LB_G1_1Y,LB_G1_15M,LB_G1_18M,LB_G1_21M,LB_G1_2Y,LB_G1_27M,LB_G1_30M,LB_G1_33M,LB_G1_3Y,LB_G1_5Y
6/3/2024,0.047778,0.04914,0.049531,0.043577,0.045044,0.045744,0.047451,0.048578,0.050631,0.05203,0.053139,0.054614,0.055775
6/4/2024,0.047781,0.04914,0.049531,0.043577,0.045083,0.045744,0.047451,0.048578,0.05063,0.05203,0.053209,0.054614,0.055631
6/5/2024,0.047643,0.04914,0.049531,0.043577,0.045084,0.045744,0.047451,0.048578,0.050627,0.052026,0.053209,0.05461,0.055536
6/6/2024,0.047781,0.048652,0.049531,0.043577,0.045078,0.045744,0.047451,0.048575,0.050623,0.052025,0.053205,0.054607,0.055597
6/7/2024,0.047775,0.048528,0.049493,0.043571,0.045078,0.045743,0.047448,0.048571,0.050626,0.052028,0.053202,0.054607,0.055472
6/10/2024,0.047781,0.048535,0.049493,0.043577,0.045083,0.045749,0.047452,0.048578,0.05063,0.052033,0.053209,0.054614,0.055451
6/11/2024,0.047781,0.048535,0.049493,0.043577,0.045083,0.045749,0.047452,0.048578,0.05063,0.052033,0.053209,0.054614,0.055568
6/12/2024,0.047781,0.048535,0.049493,0.043644,0.045161,0.045826,0.047452,0.048577,0.050625,0.052027,0.053209,0.054609,0.055566
6/13/2024,0.047781,0.048535,0.049493,0.043644,0.045078,0.045822,0.047452,0.048573,0.050623,0.052023,0.053206,0.054606,0.055356
6/14/2024,0.047913,0.048528,0.049493,0.043638,0.045078,0.04582,0.047448,0.048569,0.050626,0.052025,0.053202,0.054606,0.055158
6/17/2024,0.048068,0.048779,0.049608,0.043864,0.045449,0.046193,0.04782,0.048982,0.051074,0.052395,0.053776,0.055289,0.055868
6/18/2024,0.048068,0.048779,0.049608,0.043864,0.045411,0.046086,0.047489,0.048424,0.050512,0.051752,0.053137,0.054493,0.055043
6/19/2024,0.048068,0.048408,0.049531,0.043797,0.045343,0.046012,0.047412,0.048348,0.050431,0.051674,0.05302,0.054383,0.054884
6/20/2024,0.047919,0.048164,0.049454,0.04372,0.045261,0.045932,0.047336,0.048268,0.050351,0.051594,0.05295,0.054303,0.054858
6/21/2024,0.047913,0.047669,0.049454,0.043715,0.045261,0.045934,0.047332,0.048264,0.050354,0.051599,0.052947,0.054303,0.054796
6/24/2024,0.047959,0.04792,0.049387,0.043644,0.04516,0.045831,0.047259,0.048205,0.050282,0.051536,0.052877,0.054233,0.054772
6/25/2024,0.047959,0.04792,0.049387,0.043644,0.04516,0.045831,0.047259,0.048205,0.050282,0.051536,0.052877,0.054233,0.05467
6/26/2024,0.047771,0.048593,0.049387,0.043644,0.045161,0.045826,0.047259,0.048205,0.050279,0.051529,0.052877,0.054229,0.05469
6/27/2024,0.047989,0.048749,0.049685,0.04372,0.045155,0.04582,0.047254,0.048199,0.050275,0.051525,0.05287,0.054225,0.054865
6/28/2024,0.048447,0.049036,0.050215,0.044012,0.045665,0.046262,0.047476,0.048452,0.050075,0.051392,0.052813,0.054411,0.055021
7/1/2024,0.048581,0.049036,0.050212,0.044017,0.04567,0.046257,0.047478,0.04846,0.050079,0.051385,0.052819,0.054418,0.055658
7/2/2024,0.048453,0.048892,0.050212,0.044017,0.04567,0.046262,0.047478,0.04846,0.05008,0.051387,0.052819,0.054418,0.055149
7/3/2024,0.048206,0.048814,0.050212,0.043797,0.045603,0.046188,0.0474,0.048387,0.050009,0.051314,0.052739,0.054341,0.055042
7/4/2024,0.048206,0.048808,0.050212,0.043797,0.045598,0.046186,0.047397,0.048383,0.050005,0.051316,0.052735,0.054338,0.054894
7/5/2024,0.048061,0.048811,0.050201,0.043859,0.045666,0.046268,0.047468,0.048456,0.050007,0.051248,0.052731,0.05402,0.054639
7/8/2024,0.048907,0.048892,0.050529,0.043864,0.045669,0.046347,0.047473,0.048463,0.05001,0.051246,0.052736,0.054027,0.054639
7/9/2024,0.049618,0.049263,0.051174,0.044275,0.046043,0.046605,0.047648,0.0486,0.050185,0.051421,0.052922,0.054175,0.054791
7/10/2024,0.049618,0.049263,0.051174,0.044275,0.046043,0.046605,0.047648,0.0486,0.050182,0.051423,0.052919,0.054172,0.05481
7/11/2024,0.049618,0.049257,0.051174,0.044275,0.046038,0.046599,0.047644,0.048596,0.050178,0.051419,0.052915,0.054169,0.054788
7/12/2024,0.049612,0.04926,0.051167,0.044193,0.045884,0.046526,0.04764,0.048594,0.050186,0.051426,0.052915,0.05417,0.054758
7/15/2024,0.04948,0.049195,0.050847,0.044122,0.045822,0.046451,0.047575,0.048525,0.050113,0.051351,0.052848,0.0541,0.054651
7/16/2024,0.049332,0.049117,0.050529,0.044055,0.045745,0.046374,0.047503,0.048459,0.050037,0.05127,0.052775,0.054024,0.054598
7/17/2024,0.049194,0.049039,0.050212,0.043979,0.045746,0.04637,0.047507,0.048461,0.050033,0.051267,0.052775,0.054022,0.054597
7/18/2024,0.049194,0.048964,0.049884,0.043902,0.045663,0.046301,0.047441,0.048381,0.049963,0.051202,0.052697,0.053952,0.054477
7/19/2024,0.049049,0.048889,0.049877,0.043897,0.045664,0.046306,0.047437,0.048377,0.049966,0.051206,0.052698,0.053952,0.05453
7/22/2024,0.049055,0.048892,0.049826,0.043902,0.045669,0.046308,0.047445,0.048384,0.04997,0.051208,0.052705,0.053959,0.054519
7/23/2024,0.048907,0.048892,0.049884,0.043979,0.045669,0.046308,0.047444,0.048382,0.04997,0.051204,0.052704,0.053957,0.054531
7/24/2024,0.049055,0.049195,0.050212,0.044084,0.045746,0.046369,0.047507,0.048458,0.050033,0.051267,0.052775,0.05402,0.054523
7/25/2024,0.048986,0.049165,0.050212,0.044084,0.045741,0.046352,0.047502,0.048454,0.05003,0.051258,0.052769,0.054017,0.054532
7/26/2024,0.048832,0.049169,0.050212,0.044079,0.045741,0.046356,0.047504,0.04845,0.050033,0.051262,0.052773,0.054016,0.054574
7/29/2024,0.048986,0.049178,0.050212,0.044084,0.045669,0.046363,0.047507,0.048458,0.050039,0.051266,0.052778,0.054023,0.054522
7/30/2024,0.049134,0.049143,0.050195,0.044017,0.045601,0.046336,0.047457,0.04842,0.049932,0.051156,0.052649,0.053915,0.054376
