Date,ON,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y
2023-01-03,-0.008000005000000001,0.03444639482772277,0.034372024883663366,0.037029636063366345,0.03711620439232673,0.03701069580544554,0.04061287867524753,0.03879474899207921,0.0373350626289604,0.036064396124504954,0.034842668156188125
2023-01-04,-0.008000005000000001,0.03443985382772277,0.03436551688366336,0.037029636063366345,0.03711620439232673,0.03701069580544554,0.040613412675247526,0.03878201199207921,0.037340848628960394,0.036069717124504956,0.03484276315618813
2023-01-05,-0.008000005000000001,0.03444312382772277,0.034368770883663365,0.037029636063366345,0.03711620439232673,0.03701069580544554,0.04061394767524752,0.038788379992079215,0.0373466366289604,0.036069717124504956,0.03484285715618812
2023-01-06,-0.008000016,0.03444639482772277,0.034372024883663366,0.037029636063366345,0.03711620439232673,0.03701069580544554,0.04060189667524752,0.03879474899207921,0.0373466366289604,0.036069717124504956,0.03484295115618813
2023-01-09,-0.008000005000000001,0.03444639482772277,0.034372024883663366,0.03702571206336634,0.03711142339232673,0.03701069580544554,0.04061608567524752,0.03879474899207921,0.0373466366289604,0.03605907612450495,0.03483840515618812
2023-01-10,-0.008000005000000001,0.03444639482772277,0.034372024883663366,0.037029636063366345,0.03711620439232673,0.03701069580544554,0.04061661967524753,0.03879474899207921,0.0373466366289604,0.036064396124504954,0.034843329156188124
2023-01-11,-0.008000005000000001,0.03443985382772277,0.03436551688366336,0.037029636063366345,0.03711620439232673,0.03701069580544554,0.04061715367524753,0.03878201199207921,0.037340848628960394,0.036069717124504956,0.03484342315618813
2023-01-12,-0.008000005000000001,0.03444312382772277,0.034368770883663365,0.037029636063366345,0.03711620439232673,0.03701069580544554,0.040617688675247524,0.038788379992079215,0.0373466366289604,0.036069717124504956,0.03484351715618812
2023-01-13,-0.008000016,0.03444639482772277,0.034372024883663366,0.037029636063366345,0.03711620439232673,0.03701069580544554,0.04060561667524752,0.03879474899207921,0.0373466366289604,0.036069717124504956,0.03484361215618813
2023-01-16,-0.008000005000000001,0.03444639482772277,0.034372024883663366,0.03702571206336634,0.03711142339232673,0.03701069580544554,0.04061982667524752,0.03879474899207921,0.0373466366289604,0.03605907612450495,0.03483906515618812
2023-01-17,-0.008000005000000001,0.03444639482772277,0.034372024883663366,0.037029636063366345,0.03711620439232673,0.03701069580544554,0.04062036067524753,0.03879474899207921,0.0373350626289604,0.036064396124504954,0.034843989156188124
