Date,3M,6M,9M,1Y,15M,18M,21M,2Y,27M,30M,33M,3Y
2024-06-03,0.047778002,0.049139667,0.049531087,0.050331832,0.051857439,0.052599194,0.054334511,0.055317084,0.057404185,0.058837224,0.059972875,0.061348842
2024-06-04,0.047781116,0.049139667,0.049531087,0.050331832,0.05189723,0.052599194,0.054334511,0.055317084,0.057403785,0.058837224,0.060043016,0.061348842
2024-06-05,0.04764279,0.049139667,0.049531087,0.050331832,0.051897603,0.052599194,0.054334511,0.055317084,0.057399307,0.058832557,0.060043016,0.061344656
2024-06-06,0.047781116,0.048651776,0.049531087,0.050331832,0.051890539,0.0525977,0.054334511,0.055312601,0.057394194,0.058831101,0.060038594,0.061340527
2024-06-07,0.047774888,0.048528263,0.049492541,0.050325008,0.051891109,0.052596986,0.054329921,0.055307189,0.057398436,0.05883433,0.060034792,0.06134
2024-06-10,0.047781116,0.048534664,0.049492541,0.050331832,0.05189723,0.052604648,0.0543352,0.055317084,0.057403785,0.058840924,0.060043504,0.061348842
2024-06-11,0.047781116,0.048534664,0.049492541,0.050331832,0.05189723,0.052604648,0.0543352,0.055317084,0.057403785,0.058840924,0.060043504,0.061348842
2024-06-12,0.047781116,0.048534664,0.049492541,0.050398394,0.05197403,0.052681991,0.0543352,0.055315186,0.057396556,0.058833436,0.060043504,0.061343242
2024-06-13,0.047781116,0.048534664,0.049492541,0.050398394,0.051890539,0.052676076,0.0543352,0.055310709,0.057394194,0.058828992,0.060039082,0.061339111
2024-06-14,0.047913173,0.048528263,0.049492541,0.050391552,0.05189073,0.052674312,0.054329921,0.055305285,0.0573982,0.058831507,0.060034792,0.061338575
2024-06-17,0.048067634,0.048778639,0.049608175,0.050617066,0.052261214,0.053047116,0.05470229,0.055718699,0.057844586,0.05920111,0.060608646,0.062022092
2024-06-18,0.048067634,0.048778639,0.049608175,0.050617066,0.052222823,0.05294079,0.054371994,0.055162617,0.057284191,0.058558647,0.059970368,0.061227814
2024-06-19,0.048067634,0.048407785,0.049531087,0.050550519,0.052155636,0.052866821,0.05429565,0.055086461,0.057202926,0.058479587,0.059854172,0.061117333
2024-06-20,0.047919438,0.048163765,0.049453994,0.050474459,0.05207251,0.052785736,0.054219301,0.055006166,0.057121966,0.05839988,0.059783692,0.061037392
2024-06-21,0.047913173,0.047669457,0.049453994,0.050467597,0.052073086,0.052788474,0.054214048,0.055000738,0.057126167,0.058405366,0.05977942,0.061036823
2024-06-24,0.047958958,0.047919715,0.049386534,0.050398394,0.05197355,0.052687546,0.054142775,0.054944428,0.057056065,0.058344622,0.059711814,0.060969345
2024-06-25,0.047958958,0.047919715,0.049386534,0.050398394,0.05197355,0.052687546,0.054142775,0.054944428,0.057056065,0.058344622,0.059711814,0.060969345
2024-06-26,0.047771236,0.048593221,0.049386534,0.050398394,0.051974057,0.052681463,0.054142775,0.054944428,0.057051753,0.058335986,0.059711814,0.060965222
2024-06-27,0.047988597,0.048749364,0.049685259,0.050474459,0.051966761,0.052674144,0.054137461,0.054937887,0.057046504,0.058330601,0.059703694,0.060959532
2024-06-28,0.048446514,0.049035564,0.05021509,0.050762215,0.052474623,0.053114224,0.054355904,0.055187403,0.056846122,0.058195927,0.059643555,0.061143419
2024-07-01,0.048581339,0.049035564,0.050211679,0.050769157,0.052480539,0.053107539,0.054360189,0.055197314,0.056851265,0.058187892,0.059652039,0.061152272
2024-07-02,0.048452919,0.048892488,0.050211679,0.050769157,0.052480889,0.053114284,0.054360189,0.055197314,0.056851477,0.058189303,0.059652039,0.061152272
2024-07-03,0.048205946,0.048814434,0.050211679,0.050550519,0.052414389,0.053040694,0.054282481,0.055125485,0.056780592,0.058118675,0.059570657,0.061075319
2024-07-04,0.048205946,0.04880796,0.050211679,0.050550519,0.052407564,0.053038889,0.054277262,0.055121061,0.056775636,0.058121077,0.059566369,0.061071209
2024-07-05,0.048061331,0.048811197,0.05020145,0.050610165,0.052475693,0.053121602,0.054347899,0.055191744,0.056777831,0.058053689,0.059561868,0.060753125
2024-07-08,0.048907309,0.048892488,0.050529434,0.050617066,0.052479651,0.053200619,0.054354481,0.05520164,0.056781779,0.05805203,0.059567897,0.0607619
2024-07-09,0.049618424,0.049263202,0.051174339,0.051025759,0.052851875,0.053458142,0.054527392,0.055336321,0.056955548,0.058224736,0.059752781,0.060908568
2024-07-10,0.049618424,0.049263202,0.051174339,0.051025759,0.052851875,0.053458142,0.054527392,0.055336321,0.056951018,0.05822697,0.059748482,0.060904507
2024-07-11,0.049618424,0.049256609,0.051174339,0.051025759,0.052844949,0.053450222,0.054522165,0.055331884,0.056945983,0.058222573,0.059744145,0.060900359
2024-07-12,0.049611709,0.049259905,0.051167257,0.050942744,0.052692016,0.053378389,0.054518192,0.055328521,0.056955131,0.058230371,0.059744889,0.060901333
2024-07-15,0.049480162,0.049194918,0.050847113,0.050873706,0.052631606,0.053304147,0.0544556,0.055262621,0.056884179,0.058155684,0.059679865,0.060834342
2024-07-16,0.049332018,0.049116876,0.050529434,0.050807176,0.052555254,0.053227548,0.054383618,0.055196233,0.056808131,0.058074991,0.059606815,0.060757895
2024-07-17,0.049193746,0.049038831,0.050211679,0.050731136,0.052555632,0.053222241,0.054389329,0.055198395,0.056803839,0.058070947,0.059606535,0.060755449
2024-07-18,0.049193746,0.048964024,0.049884216,0.050655091,0.052472039,0.053153408,0.054321968,0.055118099,0.056732431,0.058006628,0.059528927,0.060685589
2024-07-19,0.049048904,0.048889241,0.049877484,0.050648179,0.05247295,0.053159542,0.054318187,0.055112635,0.056736772,0.058012071,0.059529772,0.060684977
2024-07-22,0.049055469,0.048892488,0.04982642,0.050655091,0.052479247,0.053161956,0.054328251,0.055122515,0.056742137,0.058013666,0.059538241,0.060693742
2024-07-23,0.048907309,0.048892488,0.049884216,0.050731136,0.052479651,0.053161956,0.054327213,0.055120355,0.056742382,0.058009227,0.05953751,0.060692142
