CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
,,,,,2021-04-02,Good Friday,,
,,,,,2021-04-03,Easter Saturday,,
,,,,,2021-04-05,Easter Monday,,
,,,,,2021-04-26,ANZAC Day OBS,,
,,,,,2021-06-14,Queen's Birthday,,
,,,,,2021-08-02,Bank Holiday - NSW,,
,,,,,2021-10-04,Labour Day - NSW,,
,,,,,1981-01-01,New Year's Day,,
,,,,,2021-12-27,Christmas Day OBS,,
,,,,,2021-12-28,Boxing Day OBS,,
,,,,,2022-01-03,New Year's Day OBS,,
,,,,,2022-01-26,Australia Day,,
,,,,,2022-04-15,Good Friday,,
,,,,,2022-04-16,Easter Saturday,,
,,,,,2022-04-18,Easter Monday,,
,,,,,2022-04-25,ANZAC Day,,
,,,,,2022-06-13,Queen's Birthday,,
,,,,,2022-08-01,Bank Holiday - NSW,,
,,,,,1981-01-26,Australia Day,,
,,,,,2022-10-03,Labour Day - NSW,,
,,,,,2022-12-26,Christmas Day OBS,,
,,,,,2022-12-27,Boxing Day OBS,,
,,,,,2023-01-02,New Year's Day OBS,,
,,,,,2023-01-26,Australia Day,,
,,,,,2023-04-07,Good Friday,,
,,,,,2023-04-08,Easter Saturday,,
,,,,,2023-04-10,Easter Monday,,
,,,,,2023-04-25,ANZAC Day,,
,,,,,2023-06-12,Queen's Birthday,,
,,,,,1981-04-17,Good Friday,,
,,,,,2023-08-07,Bank Holiday - NSW,,
,,,,,2023-10-02,Labour Day - NSW,,
,,,,,2023-12-25,Christmas Day,,
,,,,,2023-12-26,Boxing Day,,
,,,,,2024-01-01,New Year's Day,,
,,,,,2024-01-26,Australia Day,,
,,,,,2024-03-29,Good Friday,,
,,,,,2024-03-30,Easter Saturday,,
,,,,,2024-04-01,Easter Monday,,
,,,,,2024-04-25,ANZAC Day,,
,,,,,1981-04-18,Easter Saturday,,
,,,,,2024-06-10,Queen's Birthday,,
,,,,,2024-08-05,Bank Holiday - NSW,,
,,,,,2024-10-07,Labour Day - NSW,,
,,,,,2024-12-25,Christmas Day,,
,,,,,2024-12-26,Boxing Day,,
,,,,,2025-01-01,New Year's Day,,
,,,,,2025-01-27,Australia Day OBS,,
,,,,,2025-04-18,Good Friday,,
,,,,,2025-04-19,Easter Saturday,,
,,,,,2025-04-21,Easter Monday,,
,,,,,1981-04-20,Easter Monday,,
,,,,,2025-04-25,ANZAC Day,,
,,,,,2025-06-09,Queen's Birthday,,
,,,,,2025-08-04,Bank Holiday - NSW,,
,,,,,2025-10-06,Labour Day - NSW,,
,,,,,2025-12-25,Christmas Day,,
,,,,,2025-12-26,Boxing Day,,
,,,,,2026-01-01,New Year's Day,,
,,,,,2026-01-26,Australia Day,,
,,,,,2026-04-03,Good Friday,,
,,,,,2026-04-04,Easter Saturday,,
,,,,,1981-04-25,ANZAC Day,,
,,,,,2009-04-13,Easter Monday,,
,,,,,2026-04-06,Easter Monday,,
,,,,,2026-04-25,ANZAC Day,,
,,,,,2026-06-08,Queen's Birthday,,
,,,,,2026-08-03,Bank Holiday - NSW,,
,,,,,2026-10-05,Labour Day - NSW,,
,,,,,2026-12-25,Christmas Day,,
,,,,,2026-12-28,Boxing Day OBS,,
,,,,,2027-01-01,New Year's Day,,
,,,,,2027-01-26,Australia Day,,
,,,,,2027-03-26,Good Friday,,
,,,,,1981-06-08,Queen's Birthday,,
,,,,,2027-03-27,Easter Saturday,,
,,,,,2027-03-29,Easter Monday,,
,,,,,2027-04-26,ANZAC Day OBS,,
,,,,,2027-06-14,Queen's Birthday,,
,,,,,2027-08-02,Bank Holiday - NSW,,
,,,,,2027-10-04,Labour Day - NSW,,
,,,,,2027-12-27,Christmas Day OBS,,
,,,,,2027-12-28,Boxing Day OBS,,
,,,,,2028-01-03,New Year's Day OBS,,
,,,,,2028-01-26,Australia Day,,
,,,,,1981-08-03,Bank Holiday - NSW,,
,,,,,2028-04-14,Good Friday,,
,,,,,2028-04-15,Easter Saturday,,
,,,,,2028-04-17,Easter Monday,,
,,,,,2028-04-25,ANZAC Day,,
,,,,,2028-06-12,Queen's Birthday,,
,,,,,2028-08-07,Bank Holiday - NSW,,
,,,,,2028-10-02,Labour Day - NSW,,
,,,,,2028-12-25,Christmas Day,,
,,,,,2028-12-26,Boxing Day,,
,,,,,2029-01-01,New Year's Day,,
,,,,,1981-10-05,Labour Day - NSW,,
,,,,,2029-01-26,Australia Day,,
,,,,,2029-03-30,Good Friday,,
,,,,,2029-03-31,Easter Saturday,,
,,,,,2029-04-02,Easter Monday,,
,,,,,2029-04-25,ANZAC Day,,
,,,,,2029-06-11,Queen's Birthday,,
,,,,,2029-08-06,Bank Holiday - NSW,,
,,,,,2029-10-01,Labour Day - NSW,,
,,,,,2029-12-25,Christmas Day,,
,,,,,2029-12-26,Boxing Day,,
,,,,,1981-12-25,Christmas Day,,
,,,,,2030-01-01,New Year's Day,,
,,,,,2030-01-28,Australia Day OBS,,
,,,,,2030-04-19,Good Friday,,
,,,,,2030-04-20,Easter Saturday,,
,,,,,2030-04-22,Easter Monday,,
,,,,,2030-04-25,ANZAC Day,,
,,,,,2030-06-10,Queen's Birthday,,
,,,,,2030-08-05,Bank Holiday - NSW,,
,,,,,2030-10-07,Labour Day - NSW,,
,,,,,2030-12-25,Christmas Day,,
,,,,,1981-12-28,Boxing Day OBS,,
,,,,,2030-12-26,Boxing Day,,
,,,,,2031-01-01,New Year's Day,,
,,,,,2031-01-27,Australia Day OBS,,
,,,,,2031-04-11,Good Friday,,
,,,,,2031-04-12,Easter Saturday,,
,,,,,2031-04-14,Easter Monday,,
,,,,,2031-04-25,ANZAC Day,,
,,,,,2031-06-09,Queen's Birthday,,
,,,,,2031-08-04,Bank Holiday - NSW,,
,,,,,2031-10-06,Labour Day - NSW,,
,,,,,1982-01-01,New Year's Day,,
,,,,,2031-12-25,Christmas Day,,
,,,,,2031-12-26,Boxing Day,,
,,,,,2032-01-01,New Year's Day,,
,,,,,2032-01-26,Australia Day,,
,,,,,2032-03-26,Good Friday,,
,,,,,2032-03-27,Easter Saturday,,
,,,,,2032-03-29,Easter Monday,,
,,,,,2032-04-26,ANZAC Day OBS,,
,,,,,2032-06-14,Queen's Birthday,,
,,,,,2032-08-02,Bank Holiday - NSW,,
,,,,,1982-01-26,Australia Day,,
,,,,,2032-10-04,Labour Day - NSW,,
,,,,,2032-12-27,Christmas Day OBS,,
,,,,,2032-12-28,Boxing Day OBS,,
,,,,,2033-01-03,New Year's Day OBS,,
,,,,,2033-01-26,Australia Day,,
,,,,,2033-04-15,Good Friday,,
,,,,,2033-04-16,Easter Saturday,,
,,,,,2033-04-18,Easter Monday,,
,,,,,2033-04-25,ANZAC Day,,
,,,,,2033-06-13,Queen's Birthday,,
,,,,,1982-04-09,Good Friday,,
,,,,,2033-08-01,Bank Holiday - NSW,,
,,,,,2033-10-03,Labour Day - NSW,,
,,,,,2033-12-26,Christmas Day OBS,,
,,,,,2033-12-27,Boxing Day OBS,,
,,,,,2034-01-02,New Year's Day OBS,,
,,,,,2034-01-26,Australia Day,,
,,,,,2034-04-07,Good Friday,,
,,,,,2034-04-08,Easter Saturday,,
,,,,,2034-04-10,Easter Monday,,
,,,,,2034-04-25,ANZAC Day,,
,,,,,1982-04-10,Easter Saturday,,
,,,,,2034-06-12,Queen's Birthday,,
,,,,,2034-08-07,Bank Holiday - NSW,,
,,,,,2034-10-02,Labour Day - NSW,,
,,,,,2034-12-25,Christmas Day,,
,,,,,2034-12-26,Boxing Day,,
,,,,,2035-01-01,New Year's Day,,
,,,,,2035-01-26,Australia Day,,
,,,,,2035-03-23,Good Friday,,
,,,,,2035-03-24,Easter Saturday,,
,,,,,2035-03-26,Easter Monday,,
,,,,,1982-04-12,Easter Monday,,
,,,,,2009-04-25,ANZAC Day,,
,,,,,2035-04-25,ANZAC Day,,
,,,,,2035-06-11,Queen's Birthday,,
,,,,,2035-08-06,Bank Holiday - NSW,,
,,,,,2035-10-01,Labour Day - NSW,,
,,,,,2035-12-25,Christmas Day,,
,,,,,2035-12-26,Boxing Day,,
,,,,,2036-01-01,New Year's Day,,
,,,,,2036-01-28,Australia Day OBS,,
,,,,,2036-04-11,Good Friday,,
,,,,,2036-04-12,Easter Saturday,,
,,,,,1982-04-26,ANZAC Day OBS,,
,,,,,2036-04-14,Easter Monday,,
,,,,,2036-04-25,ANZAC Day,,
,,,,,2036-06-09,Queen's Birthday,,
,,,,,2036-08-04,Bank Holiday - NSW,,
,,,,,2036-10-06,Labour Day - NSW,,
,,,,,2036-12-25,Christmas Day,,
,,,,,2036-12-26,Boxing Day,,
,,,,,2037-01-01,New Year's Day,,
,,,,,2037-01-26,Australia Day,,
,,,,,2037-04-03,Good Friday,,
,,,,,1982-06-14,Queen's Birthday,,
,,,,,2037-04-04,Easter Saturday,,
,,,,,2037-04-06,Easter Monday,,
,,,,,2037-04-25,ANZAC Day,,
,,,,,2037-06-08,Queen's Birthday,,
,,,,,2037-08-03,Bank Holiday - NSW,,
,,,,,2037-10-05,Labour Day - NSW,,
,,,,,2037-12-25,Christmas Day,,
,,,,,2037-12-28,Boxing Day OBS,,
,,,,,2038-01-01,New Year's Day,,
,,,,,2038-01-26,Australia Day,,
,,,,,1982-08-02,Bank Holiday - NSW,,
,,,,,2038-04-23,Good Friday,,
,,,,,2038-04-24,Easter Saturday,,
,,,,,2038-04-26,"ANZAC Day OBS,Easter Monday",,
,,,,,2038-06-14,Queen's Birthday,,
,,,,,2038-08-02,Bank Holiday - NSW,,
,,,,,2038-10-04,Labour Day - NSW,,
,,,,,2038-12-27,Christmas Day OBS,,
,,,,,2038-12-28,Boxing Day OBS,,
,,,,,2039-01-03,New Year's Day OBS,,
,,,,,2039-01-26,Australia Day,,
,,,,,1982-10-04,Labour Day - NSW,,
,,,,,2039-04-08,Good Friday,,
,,,,,2039-04-09,Easter Saturday,,
,,,,,2039-04-11,Easter Monday,,
,,,,,2039-04-25,ANZAC Day,,
,,,,,2039-06-13,Queen's Birthday,,
,,,,,2039-08-01,Bank Holiday - NSW,,
,,,,,2039-10-03,Labour Day - NSW,,
,,,,,2039-12-26,Christmas Day OBS,,
,,,,,2039-12-27,Boxing Day OBS,,
,,,,,2040-01-02,New Year's Day OBS,,
,,,,,1982-12-27,Christmas Day OBS,,
,,,,,2040-01-26,Australia Day,,
