,3M,6M,9M,1Y,15M,18M,21M,2Y,27M,30M,33M,3Y,5Y,7Y,10Y,15Y,20Y,30Y
2025-06,0.0018406750069734034,0.0017677399014206087,0.001698658113882017,0.0016332006179230073,0.001571152907058105,0.0015123140358509204,0.0014564957261493365,0.0014035215339393199,0.0013532260726188973,0.00130545428878932,0.001260060786934831,0.0012169091996173467,0.0009385897593759475,0.0007473347280541528,0.0005593062125739977,0.00038438033099995214,0.0002899409036542262,0.00019354624544002408
2025-07,0.0018406750069734034,0.0017677399014206087,0.001698658113882017,0.0016332006179230073,0.001571152907058105,0.0015123140358509204,0.0014564957261493365,0.0014035215339393199,0.0013532260726188973,0.00130545428878932,0.001260060786934831,0.0012169091996173467,0.0009385897593759475,0.0007473347280541528,0.0005593062125739977,0.00038438033099995214,0.0002899409036542262,0.00019354624544002408
2025-08,0.0018406750069734034,0.0017677399014206087,0.001698658113882017,0.0016332006179230073,0.001571152907058105,0.0015123140358509204,0.0014564957261493365,0.0014035215339393199,0.0013532260726188973,0.00130545428878932,0.001260060786934831,0.0012169091996173467,0.0009385897593759475,0.0007473347280541528,0.0005593062125739977,0.00038438033099995214,0.0002899409036542262,0.00019354624544002408
2025-09,0.004059031439239772,0.0038981959384905944,0.0037458577221103472,0.003601511744126756,0.0034646849777615098,0.0033349343008769222,0.0032118445250579443,0.003095026558369545,0.0029841156925310692,0.0028787700059007826,0.0027786688742689005,0.002683511582019482,0.0020697653455510373,0.0016480123570512214,0.001233374437311944,0.0008476302672896237,0.0006393737292001483,0.00042680554264690293
2025-10,0.004059031439239772,0.0038981959384905944,0.0037458577221103472,0.003601511744126756,0.0034646849777615098,0.0033349343008769222,0.0032118445250579443,0.003095026558369545,0.0029841156925310692,0.0028787700059007826,0.0027786688742689005,0.002683511582019482,0.0020697653455510373,0.0016480123570512214,0.001233374437311944,0.0008476302672896237,0.0006393737292001483,0.00042680554264690293
2025-11,0.004059031439239772,0.0038981959384905944,0.0037458577221103472,0.003601511744126756,0.0034646849777615098,0.0033349343008769222,0.0032118445250579443,0.003095026558369545,0.0029841156925310692,0.0028787700059007826,0.0027786688742689005,0.002683511582019482,0.0020697653455510373,0.0016480123570512214,0.001233374437311944,0.0008476302672896237,0.0006393737292001483,0.00042680554264690293
2025-12,-0.0005068424927992802,-0.0004867593110475267,-0.00046773716685018544,-0.0004497129962070391,-0.00043262773328549476,-0.00041642604638087317,-0.000401056091812135,-0.0003864692845093611,-0.0003726200841369126,-0.0003594657956775587,-0.00034696638347841735,-0.00033508429782973904,-0.0002584471302949873,-0.00020578374514100854,-0.000154008803262479,-0.00010584176153256327,-7.983721722511949e-05,-5.329428668239671e-05
2026-01,-0.0005068424927992802,-0.0004867593110475267,-0.00046773716685018544,-0.0004497129962070391,-0.00043262773328549476,-0.00041642604638087317,-0.000401056091812135,-0.0003864692845093611,-0.0003726200841369126,-0.0003594657956775587,-0.00034696638347841735,-0.00033508429782973904,-0.0002584471302949873,-0.00020578374514100854,-0.000154008803262479,-0.00010584176153256327,-7.983721722511949e-05,-5.329428668239671e-05
2026-02,-0.0005068424927992802,-0.0004867593110475267,-0.00046773716685018544,-0.0004497129962070391,-0.00043262773328549476,-0.00041642604638087317,-0.000401056091812135,-0.0003864692845093611,-0.0003726200841369126,-0.0003594657956775587,-0.00034696638347841735,-0.00033508429782973904,-0.0002584471302949873,-0.00020578374514100854,-0.000154008803262479,-0.00010584176153256327,-7.983721722511949e-05,-5.329428668239671e-05
2026-03,-0.0005068424927992802,-0.0004867593110475267,-0.00046773716685018544,-0.0004497129962070391,-0.00043262773328549476,-0.00041642604638087317,-0.000401056091812135,-0.0003864692845093611,-0.0003726200841369126,-0.0003594657956775587,-0.00034696638347841735,-0.00033508429782973904,-0.0002584471302949873,-0.00020578374514100854,-0.000154008803262479,-0.00010584176153256327,-7.983721722511949e-05,-5.329428668239671e-05
