bond_id,obs_date,group,tenor_bucket,par_value,obs_dirty_price,delta,status,n_eval,resid_price,message,price_hash
VIBL2125019,2024-11-08,LB_G2,1Y,650000000000.0,100.0,-0.009745736450913277,ok,8,6.518519057863159e-11,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
OCBL2326012,2024-11-15,LB_G3,2Y,1000000000000.0,100.0,0.006418214129442694,ok,8,3.430255901548662e-08,,232f1fc1bc6b0f1146c68148a4bf63048a716370
OCBL2326014,2024-11-27,LB_G3,2Y,1000000000000.0,100.0,0.006336109832896478,ok,8,3.38234542596183e-08,,232f1fc1bc6b0f1146c68148a4bf63048a716370
TPBL2125019,2024-11-29,LB_G2,1Y,400000000000.0,100.0,-0.017433776926972806,ok,7,3.552713678800501e-13,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
TPBL2326014,2024-12-02,LB_G2,2Y,2000000000000.0,100.0,0.003950149030426349,ok,8,1.0764296121124062e-09,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
HDBL2125010,2024-12-09,LB_G3,1Y,400000000000.0,100.0,-0.01889678934421576,ok,7,-1.3070912388002398e-06,,232f1fc1bc6b0f1146c68148a4bf63048a716370
VIBL2427009,2024-12-13,LB_G2,3Y,2000000000000.0,100.0,-0.00222019444086537,ok,8,4.346674131738837e-10,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
HDBL2125015,2024-12-17,LB_G3,1Y,600000000000.0,100.0,-0.021387632247629542,ok,9,9.804352885112166e-10,,232f1fc1bc6b0f1146c68148a4bf63048a716370
HDBL2427028,2024-12-24,LB_G3,3Y,1000000000000.0,100.0,-0.0022123563747702174,ok,8,1.0245969406241784e-08,,232f1fc1bc6b0f1146c68148a4bf63048a716370
OCBL2326015,2025-01-14,LB_G3,2Y,2000000000000.0,100.43315013495,-0.013002975578197736,ok,8,3.050217856070958e-10,,4e08ce5847764a48fe5f6ed959337134c2660ce1
VIBL2226001,2025-02-28,LB_G2,1Y,948000000000.0,100.0,-0.015749873387203833,ok,8,2.3163693185779266e-12,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
TCB12501,2025-04-21,LB_G2,3Y,3200000000000.0,100.0,0.0024916829289626644,ok,8,9.174101478492958e-10,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
MSBL2427002,2025-04-22,LB_G3,2Y,2000000000000.0,100.0,-0.036849613010566155,ok,9,2.965805379062658e-11,,232f1fc1bc6b0f1146c68148a4bf63048a716370
TCB12409,2025-05-07,LB_G2,27M,2000000000000.0,104.6841326,-0.0012424980298734423,ok,7,0.0,,bb6a2c56562e32b5bdf4415f896035052ce9773a
VPB12504,2025-05-21,LB_G2,3Y,3000000000000.0,100.0,0.0018829222805855866,ok,8,1.990110831684433e-08,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
MSB12404,2025-06-05,LB_G3,2Y,2000000000000.0,100.0,-0.004561276581954008,ok,8,6.486970960395411e-09,,232f1fc1bc6b0f1146c68148a4bf63048a716370
SIN12406,2025-06-13,FB,1Y,1000000000000.0,100.0,-0.015181161840366336,ok,8,3.808509063674137e-12,,0efd10b98c9f7c89964243636e59b48ac4f0f85e
TCB12409,2025-06-30,LB_G2,2Y,2000000000000.0,100.0,0.0072689250375490636,ok,8,1.5527774621659773e-09,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
TCBL2427008,2025-06-30,LB_G2,2Y,2000000000000.0,100.0,0.0061549951247929285,ok,8,1.3850609548171633e-09,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
TPBL2427005,2025-06-30,LB_G2,2Y,1500000000000.0,100.0,0.0050400123575736885,ok,8,1.224790935339115e-09,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
VPB12509,2025-06-30,LB_G2,3Y,3000000000000.0,100.0,0.003983166070048328,ok,8,2.6176550704803958e-08,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
VIB12503,2025-09-15,LB_G2,3Y,2000000000000.0,100.0,0.004228903558428347,ok,8,1.1449969861132558e-09,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
VPB12517,2025-12-24,LB_G2,2Y,2000000000000.0,100.0,-0.0005280540575864598,ok,8,5.845919304192648e-10,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
VIBL12604,2026-08-21,LB_G2,3Y,3300000000000.0,100.0,0.015439421566437557,ok,8,-2.919705366366543e-09,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
TPBL12608,2026-08-24,LB_G2,3Y,2000000000000.0,100.0,0.005393681270855599,ok,8,1.3106671303830808e-09,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
VIBL12605,2026-09-16,LB_G2,3Y,3000000000000.0,100.0,0.003422604659111796,ok,8,1.036312369251391e-09,,afebef9a2b63f550850f5985f5eb92f8b108cc0d
