bond_id,face,issue_date,maturity_date,call_exercise_dates,put_exercise_dates,call_strike,put_strike,coupon_accrual,annual_coupon_rate,coupon_change_date,ref_curve,ref_tenor,margin_date,margin,floor,cap,coupon_type_change_date,style,group,is_tier2
VCB_BOND_RL15_2017_9,100,11/16/2017,11/16/2032,11/16/2027,,100,,1,0.08;0.085,11/16/2027,,,,,,,,European,LB_G1,1
VCB_BOND_RL15_2017_7,100,11/3/2017,11/3/2032,11/3/2027,,100,,1,0.08;0.085,11/3/2027,,,,,,,,European,LB_G1,1
VCBH2131007,100,12/3/2021,12/3/2031,12/3/2026,,100,,1,,,SOB4,12M,,0.01,,,,European,LB_G1,1
VCBH2128006,100,12/3/2021,12/3/2028,12/3/2023,,100,,1,,,SOB4,12M,,0.006,,,,European,LB_G1,1
VCBH2131005,100,11/24/2021,11/24/2031,11/24/2026,,100,,1,,,SOB4,12M,,0.01,,,,European,LB_G1,1
VCBH2128002,100,11/19/2021,11/20/2028,11/19/2023,,100,,1,,,SOB4,12M,,0.006,,,,European,LB_G1,1
VCBH2128004,100,11/24/2021,11/24/2028,11/24/2023,,100,,1,,,SOB4,12M,,0.006,,,,European,LB_G1,1
VCB_BOND_RL6_2018_8,100,12/26/2018,12/26/2024,12/26/2019,,100,,1,,,SOB4,12M,,0.007,,,,European,LB_G1,1
VCB_BOND_RL7_2018_9,100,12/27/2018,12/29/2025,12/27/2020,,100,,1,,,SOB4,12M,,0.008,,,,European,LB_G1,1
VCB_BOND_RL10_2017_11,100,12/20/2017,12/20/2027,12/20/2022,,100,,1,,,SOB4,12M,,0.01,,,,European,LB_G1,1
VCB_BOND_RL07_2017_10,100,12/15/2017,12/16/2024,12/15/2019;12/15/2020;12/15/2021;12/15/2022;12/15/2023,,100;100;100;100;100,,1,,,SOB4,12M,,0.012,,,,Bermudan,LB_G1,1
VCB_BOND_RL15_2018_7,100,12/27/2018,12/27/2033,12/27/2028,,100,,1,0.08;0.085,12/27/2028,,,,,,,,European,LB_G1,1
VCBH2237004,100,7/22/2022,7/22/2030,7/22/2025,,100,,1,,,SOB4,12M,7/22/2027,0.009;0.0257,,,,European,LB_G1,1
