bond_id,obs_date,dirty_amount,par_value,coupon_rate
VPBL2124012,4/28/2023,"500,000,000,000.00","500,000,000,000.00",0.039
VPBL2124011,4/26/2023,"500,000,000,000.00","500,000,000,000.00",0.039
SHBH2123018,12/22/2022,"500,052,054,795.00","500,000,000,000.00",0.038
TCBB2023003,12/22/2022,"2,000,000,000,000.00","2,000,000,000,000.00",0.04
SHBH2123017,12/21/2022,"1,000,104,109,589.00","1,000,000,000,000.00",0.038
TPBANKBOND_A4_171220,12/19/2022,"500,126,027,397.00","500,000,000,000.00",0.046
VPBL2124026,12/16/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.024
OCBH2023009,12/15/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.046
OCBH2023008,12/14/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.046
TPBANKBOND_A4_101220,12/12/2022,"500,126,027,397.00","500,000,000,000.00",0.046
SHBH2123011,10/7/2022,"1,000,104,109,589.00","1,000,000,000,000.00",0.038
SHBH2123009,9/23/2022,"950,098,904,110.00","950,000,000,000.00",0.038
SHBH2123008,9/16/2022,"1,000,104,109,589.00","1,000,000,000,000.00",0.038
HDBL2225012,8/30/2022,"500,000,000,000.00","500,000,000,000.00",0.057
OCBL2225011,8/26/2022,"500,000,000,000.00","500,000,000,000.00",0.056
LPBH2225007,7/27/2022,"1,000,131,506,000.00","1,000,000,000,000.00",0.048
TPBL2225009,7/22/2022,"1,100,141,647,000.00","1,100,000,000,000.00",0.047
OCBL2225009,7/21/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.045
LPBH2225004,6/30/2022,"1,000,120,547,000.00","1,000,000,000,000.00",0.044
TCBL2225009,6/21/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.042
TCBL2225008,6/20/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.042
TCBL2225006,6/15/2022,"1,500,000,000,000.00","1,500,000,000,000.00",0.043
TCBL2225005,6/14/2022,"1,500,000,000,000.00","1,500,000,000,000.00",0.043
VIBL2225004,5/31/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.04
HDBL2225003,5/31/2022,"1,100,000,000,000.00","1,100,000,000,000.00",0.042
HDBL2225002,5/30/2022,"1,500,000,000,000.00","1,500,000,000,000.00",0.042
TPBL2225008,5/27/2022,"999,117,682,200.00","999,000,000,000.00",0.043
TPBL2225006,5/26/2022,"500,058,900,000.00","500,000,000,000.00",0.043
TPBL2225005,5/26/2022,"500,054,790,000.00","500,000,000,000.00",0.04
TPBL2225003,5/25/2022,"1,000,109,580,000.00","1,000,000,000,000.00",0.04
MSBL2225002,5/17/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.043
MSBL2225001,4/18/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.04
VIBL2225003,3/31/2022,"1,000,000,000,000.00","1,000,000,000,000.00",0.039
VIBL2226001,2/28/2022,"948,000,000,000.00","948,000,000,000.00",0.039
SHBH2123018,12/22/2021,"500,052,054,500.00","500,000,000,000.00",0.038
LPBH2124016,12/22/2021,"990,089,505,900.00","990,000,000,000.00",0.033
SHBH2123017,12/21/2021,"1,000,104,109,000.00","1,000,000,000,000.00",0.038
VPBL2124026,12/16/2021,"1,000,000,000,000.00","1,000,000,000,000.00",0.024
LPBH2124015,12/16/2021,"1,000,090,410,000.00","1,000,000,000,000.00",0.033
LPBH2124014,12/14/2021,"1,000,090,410,000.00","1,000,000,000,000.00",0.033
VIBL2125019,11/9/2021,"650,067,670,850.00","650,000,000,000.00",0.038
VIBL2125016,10/28/2021,"1,000,104,109,000.00","1,000,000,000,000.00",0.038
SHBH2123011,10/7/2021,"1,000,104,109,000.00","1,000,000,000,000.00",0.038
SHBH2123009,9/23/2021,"950,098,903,550.00","950,000,000,000.00",0.038
SHBH2123008,9/16/2021,"1,000,104,109,000.00","1,000,000,000,000.00",0.038
VIBL2125014,8/27/2021,"400,041,643,600.00","400,000,000,000.00",0.038
MSBL2124005,8/11/2021,"1,000,000,000,000.00","1,000,000,000,000.00",0.037
LPBH2124011,7/20/2021,"1,000,106,849,000.00","1,000,000,000,000.00",0.039
LPBH2124009,7/15/2021,"1,000,106,849,000.00","1,000,000,000,000.00",0.039
VPFCH2123011,7/14/2021,"200,000,000,000.00","200,000,000,000.00",0.0724
MSBL2124003,6/7/2021,"1,000,000,000,000.00","1,000,000,000,000.00",0.04
