bond_id,obs_date,dirty_amount,par_value,coupon_rate
VCBH2232007,8/24/2022,"90,000,000,000.00","90,000,000,000.00",0.067
VCB_BOND_RL15_2018_5,11/19/2021,"80,000,000,000.00","80,000,000,000.00",0.08
VCB_BOND_RL15_2018_4,11/12/2021,"170,000,000,000.00","170,000,000,000.00",0.08
VCB_BOND_RL15_2017_12,12/20/2021,"70,000,000,000.00","70,000,000,000.00",0.08
VBA125019,7/29/2025,"1,500,000,000,000.00","1,500,000,000,000.00",0.0648
VIBL2431010,12/18/2024,"500,000,000,000.00","500,000,000,000.00",0.0748
BID12513,5/29/2025,"3,000,000,000,000.00","3,000,000,000,000.00",0.0583
HDBC8Y253302,8/20/2025,"2,488,000,000,000.00","2,488,000,000,000.00",0.0668
CTG12502,4/28/2025,"2,000,000,000,000.00","2,000,000,000,000.00",0.0588
CTG12506,6/20/2025,"1,000,000,000,000.00","1,000,000,000,000.00",0.0583
BIDL2230011,6/23/2025,"2,000,000,000,000.00","2,000,000,000,000.00",0.0743
VIB_BOND_L1_2017_003,12/14/2023,"200,000,000,000.00","200,000,000,000.00",0.0795
VIB_BOND_L1_2017_002,12/13/2023,"800,000,000,000.00","800,000,000,000.00",0.0795
VIB_BOND_L1_2017_002,12/13/2017,"800,000,000,000.00","800,000,000,000.00",0.0795
VIB_BOND_L1_2017_003,12/14/2017,"200,000,000,000.00","200,000,000,000.00",0.0795
BIDL2230011,6/23/2022,"2,000,000,000,000.00","2,000,000,000,000.00",0.0705
