Date,ON,1W,2W,1M,2M,3M,6M,9M,1Y,2Y,3Y,5Y,7Y,10Y,15Y
2012-05-07,0.0353982834534312,0.04388153027003761,0.0592326625533628,0.07546222901849481,0.08933167496250315,0.09945331889875708,0.10433082796135881,0.10699025023493687,0.10964967250851493,0.1115688274428642,0.11204751877081912,0.11275725673689535,0.11304115192332582,0.11275725673689535,0.11275725673689535
2012-05-08,0.03609821489854951,0.04388153027003761,0.05703756273652642,0.07407092466910849,0.08795220605195496,0.09633068206382839,0.10233657314879874,0.10634406903770068,0.11035156492660261,0.11140477449404482,0.11230320756611793,0.11301156985940486,0.11329491477671963,0.11301156985940486,0.11301156985940486
2012-05-09,0.033598453574328536,0.04208301343033063,0.05534122264776196,0.07188426329739053,0.08755801381740072,0.09594018100184375,0.10233657314879874,0.10634406903770068,0.11035156492660261,0.11092581068739533,0.11193450573999206,0.11264570024006565,0.11293017804009509,0.11264570024006565,0.11264570024006565
2012-05-10,0.033598453574328536,0.04208301343033063,0.05574037142200059,0.07158605132664736,0.08548807959120905,0.0918376165396419,0.10034032782515184,0.10375620806218434,0.10717208829921684,0.10842262045490449,0.10932086288028187,0.11002598809420244,0.11030803817977067,0.11002598809420244,0.11002598809420244
2012-05-11,0.031098675130022128,0.040684124110039875,0.05454290676613683,0.07089019457353536,0.08479794279547578,0.09320560560906253,0.10233657314879874,0.10569757452601053,0.10905857590322231,0.11031061690284223,0.11171752596540575,0.11349538550314425,0.11420652931823966,0.11349538550314425,0.11349538550314425
2012-05-14,0.029198832062315286,0.03958497045830789,0.05324559132027185,0.06900123710017651,0.08361466643087258,0.09554964181336674,0.1039511231806845,0.10643639981273917,0.10892167644479386,0.10988945210526861,0.111606416670719,0.11490238869700273,0.11622077750751622,0.11490238869700273,0.11490238869700273
2012-05-15,0.025399116260214124,0.03748652187268779,0.04825531482457754,0.06979662385727858,0.0827270559916118,0.09066468199564637,0.09995986461004153,0.10218255271827138,0.10440524082650122,0.10634053902202535,0.10743533673680256,0.11301715277635903,0.11524987919218162,0.11301715277635903,0.11301715277635903
2012-05-16,0.0231992627161555,0.03578771592368045,0.0457598183392024,0.06562025510142677,0.0770037478805184,0.08900243573927877,0.09834208801289876,0.10060703788614121,0.10287198775938367,0.10471038368764785,0.10560153792350467,0.11152219251858693,0.11389045435661985,0.11152219251858693,0.11152219251858693
2012-05-17,0.023099269058286468,0.03458852545931703,0.0449612090133537,0.06482459146793593,0.07591767673989284,0.08831778057151723,0.09691355053638855,0.10005052904348438,0.1031875075505802,0.10522096826923492,0.10651761453890064,0.11219824091324465,0.11447049146298224,0.11219824091324465,0.11219824091324465
2012-05-18,0.022799287920095085,0.03288962508989157,0.04246539718882047,0.06313363105764981,0.08026078224983213,0.08900243573927877,0.09834208801289876,0.10060703788614121,0.10287198775938367,0.10480513227221992,0.10589977882519577,0.1115912612559585,0.11386785422826358,0.1115912612559585,0.1115912612559585
2012-05-21,0.02189934302625528,0.032989561938016033,0.043463750589633976,0.06382993773120055,0.07848443723118297,0.08802432105045885,0.09758032833886411,0.09958659417525849,0.10159286001165287,0.1044931221779625,0.10608700603071006,0.11141196373930937,0.1135419468227491,0.11141196373930937,0.11141196373930937
2012-05-22,0.022399312685644213,0.03169036797212561,0.04286474313675284,0.060646491632148844,0.07621389745730124,0.08821996312332527,0.09834208801289876,0.09986497446694505,0.10138786092099134,0.10419318099310589,0.10537374589297224,0.11060616306162435,0.11269912992908519,0.11060616306162435,0.11060616306162435
